Pink1B9;;Rel E20/+,Pink1B9;+;+,w;;Rel E20/+,w;CS/+
1091.6,1384.2,927.2,1006.6
1139.2,1381,826.4,978.4
,,906,1049.6
1327.8,1243.2,1188.8,996.4
,,1095.8,1049.4
,,798.4,1026.8
,,998.2,920.6
1023.2,1288,883.6,830.6
1238.6,1259,861.8,823.8
,1354,821,1151
1134,1206.6,867.8,775.8
1327.6,1388.6,794.8,
1136.8,,960.8,1064.8
1349.4,,971,966.8
1230.2,1268.2,1011,799.4
,,947.8,1015
1146.2,,,
1244.8,,,
1262.4,,,
1147.2,,,
1096.4,,,
1284,,,
1150,,,
1166,,,
1309,,,
,,,
1220,,,
,,,
1080.8,,,
1378.4,,,
995.2,,,
1071,,,
1326,1314.4,,
,,,
,,,
,,,
,1425.4,,
,1316.8,,
,,,
1157,1292.2,,
1286.8,1356,,
,,,
,,,
,,,
,1299.2,,
1113,1386.4,,
,,,
1203.4,,,
1173.6,1304.2,,
1261.8,1295.8,,
1284.6,1356.6,,
,,,
1323,,,
1366,,,
1256.6,,,
1321.4,,,
1265.4,,,
1126.6,,,
,,,
,1383.8,,
,,,
,,,
1174.6,,,
