w1118,w1118,w1118,w1118,w1118,w1118,w1118,w1118,w1118,w1118,w1118,w1118,Pink1B9(w) ,Pink1B9(w) ,Pink1B9(w) ,Pink1B9(w) ,Pink1B9(w) ,Pink1B9(w) ,Pink1B9(w) ,Pink1B9(w) ,Pink1B9(w) ,Pink1B9(w) ,Pink1B9(w) ,Pink1B9(w) ,Pink1B9; eya1,Pink1B9; eya1,Pink1B9; eya1,Pink1B9; eya1,Pink1B9; eya1,Pink1B9; eya1,Pink1B9; eya1,Pink1B9; eya1,Pink1B9; eya1,Pink1B9; eya1,Pink1B9; eya1,Pink1B9; eya1
0.44342,0.36706,0.31091,0.30216,0.30147,,,,,,,,0.14114,0.20799,0.21024,0.16068,0.21392,,,,,,,,0.24201,0.16862,0.30341,0.19514,0.14024,,,,,,,
0.29383,0.32519,0.39379,0.37217,0.32358,,,,,,,,0.12175,0.17913,0.29979,0.1551,0.1038,,,,,,,,0.16165,0.18294,0.14606,0.17923,0.20787,,,,,,,
0.43379,0.3057,0.36222,0.44164,0.37787,,,,,,,,0.18135,0.08827,0.11589,0.15491,0.02346,,,,,,,,0.23401,0.178,0.1541,0.1956,0.15912,,,,,,,
0.31612,0.44377,0.30345,0.45767,0.4279,,,,,,,,0.17982,0.12935,0.20546,0.06258,0.20552,,,,,,,,0.19053,0.21736,0.1477,0.18553,0.17464,,,,,,,
0.30817,0.32118,0.28239,0.43606,0.38352,,,,,,,,0.15603,0.14547,0.13582,0.11395,0.07315,,,,,,,,0.23146,0.16883,0.18421,0.17284,0.15345,,,,,,,
0.57924,0.37736,0.34617,0.62788,0.27734,,,,,,,,0.17837,0.15709,0.23882,0.16819,0.21501,,,,,,,,0.13057,0.23594,0.17523,0.16215,0.19471,,,,,,,
0.63098,0.34162,0.61477,0.42043,0.36859,,,,,,,,0.11458,0.18113,0.13042,0.10122,0.13783,,,,,,,,0.14409,0.13204,0.19989,0.114,0.14915,,,,,,,
0.29151,0.21088,0.30473,0.24049,0.35313,,,,,,,,0.11349,0.12677,0.16052,0.1816,0.12194,,,,,,,,0.18603,0.14363,0.19313,0.11307,0.19707,,,,,,,
0.23644,0.27134,0.29735,0.41863,0.3416,,,,,,,,0.09905,0.24849,0.19435,0.17598,0.1025,,,,,,,,0.15627,0.16147,0.22658,0.14802,0.25245,,,,,,,
,,,,,,,,,,,,0.15736,0.1861,0.14613,0.26893,0.10776,,,,,,,,0.22112,0.14402,0.17828,0.15355,0.17448,,,,,,,
,,,,,,,,,,,,0.0616,0.11604,0.26207,0.17874,0.11127,,,,,,,,0.1701,0.22968,0.14359,0.17309,0.14144,,,,,,,
,,,,,,,,,,,,0.10192,0.24218,0.12834,0.1106,0.15521,,,,,,,,0.12639,0.10723,0.18785,0.16889,0.13239,,,,,,,
