,,,,,
Table Analyzed,FIG 8 C -PPL1 buffy/pink,,,,
Data sets analyzed,A-C,,,,
,,,,,
ANOVA summary,,,,,
  F,20.95,,,,
  P value,<0.0001,,,,
  P value summary,****,,,,
  Significant diff. among means (P < 0.05)?,Yes,,,,
  R squared,0.5670,,,,
,,,,,
Brown-Forsythe test,,,,,
  F (DFn, DFd),0.4787 (2, 32),,,,
  P value,0.6240,,,,
  P value summary,ns,,,,
  Are SDs significantly different (P < 0.05)?,No,,,,
,,,,,
Bartlett's test,,,,,
  Bartlett's statistic (corrected),2.450,,,,
  P value,0.2937,,,,
  P value summary,ns,,,,
  Are SDs significantly different (P < 0.05)?,No,,,,
,,,,,
ANOVA table,SS,DF,MS,F (DFn, DFd),P value
  Treatment (between columns),46.27,2,23.13,F (2, 32) = 20.95,P<0.0001
  Residual (within columns),35.33,32,1.104,,
  Total,81.60,34,,,
,,,,,
Data summary,,,,,
  Number of treatments (columns),3,,,,
  Number of values (total),35,,,,
