,,,,,
Table Analyzed,FIG 2 A-Rel20 Activity,,,,
Data sets analyzed,A-D,,,,
,,,,,
ANOVA summary,,,,,
  F,74.88,,,,
  P value,<0.0001,,,,
  P value summary,****,,,,
  Significant diff. among means (P < 0.05)?,Yes,,,,
  R squared,0.7232,,,,
,,,,,
Brown-Forsythe test,,,,,
  F (DFn, DFd),2.270 (3, 86),,,,
  P value,0.0862,,,,
  P value summary,ns,,,,
  Are SDs significantly different (P < 0.05)?,No,,,,
,,,,,
Bartlett's test,,,,,
  Bartlett's statistic (corrected),8.168,,,,
  P value,0.0427,,,,
  P value summary,*,,,,
  Are SDs significantly different (P < 0.05)?,Yes,,,,
,,,,,
ANOVA table,SS,DF,MS,F (DFn, DFd),P value
  Treatment (between columns),2055279,3,685093,F (3, 86) = 74.88,P<0.0001
  Residual (within columns),786830,86,9149,,
  Total,2842109,89,,,
,,,,,
Data summary,,,,,
  Number of treatments (columns),4,,,,
  Number of values (total),90,,,,
