,,,,,
Table Analyzed,FIG 7C  Pearson,,,,
Data sets analyzed,A-C,,,,
,,,,,
ANOVA summary,,,,,
  F,56.31,,,,
  P value,<0.0001,,,,
  P value summary,****,,,,
  Significant diff. among means (P < 0.05)?,Yes,,,,
  R squared,0.7952,,,,
,,,,,
Brown-Forsythe test,,,,,
  F (DFn, DFd),3.644 (2, 29),,,,
  P value,0.0387,,,,
  P value summary,*,,,,
  Are SDs significantly different (P < 0.05)?,Yes,,,,
,,,,,
Bartlett's test,,,,,
  Bartlett's statistic (corrected),9.786,,,,
  P value,0.0075,,,,
  P value summary,**,,,,
  Are SDs significantly different (P < 0.05)?,Yes,,,,
,,,,,
ANOVA table,SS,DF,MS,F (DFn, DFd),P value
  Treatment (between columns),0.1288,2,0.06439,F (2, 29) = 56.31,P<0.0001
  Residual (within columns),0.03316,29,0.001144,,
  Total,0.1620,31,,,
,,,,,
Data summary,,,,,
  Number of treatments (columns),3,,,,
  Number of values (total),32,,,,
