,,,,,
Table Analyzed,FIG 6 I-DILP comparing rel data from 21/11/19,,,,
Data sets analyzed,A-D,,,,
,,,,,
ANOVA summary,,,,,
  F,15.35,,,,
  P value,<0.0001,,,,
  P value summary,****,,,,
  Significant diff. among means (P < 0.05)?,Yes,,,,
  R squared,0.6573,,,,
,,,,,
Brown-Forsythe test,,,,,
  F (DFn, DFd),2.123 (3, 24),,,,
  P value,0.1237,,,,
  P value summary,ns,,,,
  Are SDs significantly different (P < 0.05)?,No,,,,
,,,,,
Bartlett's test,,,,,
  Bartlett's statistic (corrected),6.799,,,,
  P value,0.0786,,,,
  P value summary,ns,,,,
  Are SDs significantly different (P < 0.05)?,No,,,,
,,,,,
ANOVA table,SS,DF,MS,F (DFn, DFd),P value
  Treatment (between columns),14.34,3,4.780,F (3, 24) = 15.35,P<0.0001
  Residual (within columns),7.475,24,0.3115,,
  Total,21.82,27,,,
,,,,,
Data summary,,,,,
  Number of treatments (columns),4,,,,
  Number of values (total),28,,,,
