,,,
Table Analyzed,FIG 3 E-Smurf,,
,,,
P value and statistical significance,,,
  Test,Chi-square,,
  Chi-square, df,9.274, 1,,
  z,3.045,,
  P value,0.0023,,
  P value summary,**,,
  One- or two-sided,Two-sided,,
  Statistically significant (P < 0.05)?,Yes,,
,,,
Data analyzed,Pink1B9;+,+,w1118,Total
  Smurf,25,6,31
  Non Smurf,47,48,95
  Total,72,54,126
,,,
Percentage of row total,Pink1B9;+,+,w1118,
  Smurf,80.65%,19.35%,
  Non Smurf,49.47%,50.53%,
,,,
Percentage of column total,Pink1B9;+,+,w1118,
  Smurf,34.72%,11.11%,
  Non Smurf,65.28%,88.89%,
,,,
Percentage of grand total,Pink1B9;+,+,w1118,
  Smurf,19.84%,4.76%,
  Non Smurf,37.30%,38.10%,
